Category,Name,State,Fill1,Fill2,Fill3,Website
Municipality,Lone Jack,Missouri,1,1,1,https://lonejackmo.org/
Municipality,Loogootee,Indiana,1,1,1,https://loogootee.in.gov/
County,Louisa,Iowa,1,1,1,https://louisacountyia.gov/
Municipality,Louisiana,Missouri,1,1,1,https://louisiana-mo.com/
County,Lucas,Iowa,1,1,1,https://lucascounty.iowa.gov/
County,Luna,New Mexico,1,1,1,https://lunacountynm.us/
County,Lyon,Iowa,1,1,1,https://lyoncounty.iowa.gov/
Municipality,Countryside,Illinois,1,1,1,https://lyonstownshipil.gov/
Municipality,Gillespie,Illinois,1,1,1,https://macoupincountyil.gov/
Municipality,Girard,Illinois,1,1,1,https://macoupincountyil.gov/
County,Madison,Iowa,1,1,1,https://madisoncounty.iowa.gov/
County,Madison,Missouri,1,1,1,https://madisoncountymo.us/
Municipality,Magna (Metro Township),Utah,1,1,1,https://magna.utah.gov/home
County,Marion,Iowa,1,1,1,https://marioncountyiowa.gov/
County,Marion,Missouri,1,1,1,https://marioncountymo.com/
Municipality,Marshall,Missouri,1,1,1,https://marshall-mo.com/
Municipality,Marthasville,Missouri,1,1,1,https://marthasvillemo.gov/
Municipality,Marysvale,Utah,1,1,1,https://marysvale.gov/
Municipality,Bush,Illinois,1,1,1,https://mattoon.illinois.gov/government/city-clerk/
